sample_id,source_bundle,derived_bundle,sha256,height,width,token_size,v12_matches_source,safety_weight_map_status,native_gate_status
SCN_yao_0058,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0058.npz,derived_scene_sidecars/SCN_yao_0058_derived.npz,bbee3252b4c0c7102d5cd4657f8246f79f41b95e9d45d30807fb80900c8e18b7,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0059,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0059.npz,derived_scene_sidecars/SCN_yao_0059_derived.npz,5167bc30f29fddfc6afef1de44d58aa1fc5e3ad71f2536dbce6fd4206144eaa8,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0060,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0060.npz,derived_scene_sidecars/SCN_yao_0060_derived.npz,8b3243a98d0a0d6909042a41aa2e6c96ff5c4b9425aa3718ef65a34408cfc43a,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0061,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0061.npz,derived_scene_sidecars/SCN_yao_0061_derived.npz,99b4808038684bb9618d46f62de60b441312228937991017f3a0d7ea10a16400,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0062,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0062.npz,derived_scene_sidecars/SCN_yao_0062_derived.npz,53151dbfbe9fb12a5afb2cc90db15a1b48e86d89ab23646feb8aaaf7db4b94fe,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0063,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0063.npz,derived_scene_sidecars/SCN_yao_0063_derived.npz,75da03d1b91c781fdf8a0c0e29db1827f74c442d0ed197156c556ac6d9fef584,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0064,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0064.npz,derived_scene_sidecars/SCN_yao_0064_derived.npz,b3f2d87c31f60d971e114c5497ce47eb67c69e1ed12b716af670aef07be2dae7,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0065,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0065.npz,derived_scene_sidecars/SCN_yao_0065_derived.npz,2d3baa2e615ebebd4675e8bf300ed485fc2b0575c45c7b9c446b9a3507cc7081,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0066,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0066.npz,derived_scene_sidecars/SCN_yao_0066_derived.npz,a803d5b28f22b3dbdcfdbd19487fbd0111ffb1cbc5da79dbb73ddb0c8d07ce14,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0067,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0067.npz,derived_scene_sidecars/SCN_yao_0067_derived.npz,b541db2113844d2a95f1fe973192e8efbe478cf156b23ee1a7cffa92c9c1ca8b,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0068,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0068.npz,derived_scene_sidecars/SCN_yao_0068_derived.npz,1cfe008de6796e40dfdea37a6733fe85b26ec3ccb6cfa3c74cba0338fba9544f,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_yao_0069,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_yao_0069.npz,derived_scene_sidecars/SCN_yao_0069_derived.npz,7cf24f856a89ba947cd0cbb409ce980beb684c9b985715836b7cd2ca5b938b5b,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
